template,accuracy
Default,0.605
Alice-opinion,0.5133333333333333
Default,0.545
Alice-opinion,0.5166666666666667
Default,0.54
Alice-opinion,0.5016666666666667
Default,0.5383333333333333
Alice-opinion,0.5133333333333333
Default,0.5416666666666667
Alice-opinion,0.5133333333333333
Default,0.525
Alice-opinion,0.5066666666666667
Default,0.5166666666666666
Alice-opinion,0.515
Default,0.5333333333333333
Alice-opinion,0.515
Default,0.51
Alice-opinion,0.5183333333333333
Default,0.535
Alice-opinion,0.5366666666666666
Default,0.505
Alice-opinion,0.52
Default,0.5883333333333334
Alice-opinion,0.52
Default,0.535
Alice-opinion,0.51
Default,0.5016666666666667
Alice-opinion,0.52
Default,0.5
Alice-opinion,0.515
Default,0.5066666666666666
Alice-opinion,0.5116666666666667
Default,0.71
Alice-opinion,0.505
Default,0.51
Alice-opinion,0.515
Default,0.5083333333333333
Alice-opinion,0.5133333333333333
Default,0.5316666666666666
Alice-opinion,0.5233333333333333
Default,0.5683333333333334
Alice-opinion,0.51
Default,0.51
Alice-opinion,0.5216666666666667
Default,0.5383333333333333
Alice-opinion,0.5033333333333333
Default,0.5016666666666667
Alice-opinion,0.51
Default,0.5133333333333333
Alice-opinion,0.5216666666666666
Default,0.5433333333333333
Alice-opinion,0.5016666666666667
Default,0.5316666666666667
Alice-opinion,0.5166666666666666
Default,0.5483333333333333
Alice-opinion,0.5266666666666666
Default,0.5183333333333333
Alice-opinion,0.51
Default,0.5266666666666666
Alice-opinion,0.505
Default,0.5233333333333333
Alice-opinion,0.5183333333333333
Default,0.5683333333333334
Alice-opinion,0.5166666666666666
Default,0.52
Alice-opinion,0.515
Default,0.52
Alice-opinion,0.5183333333333333
Default,0.5683333333333334
Alice-opinion,0.5033333333333334
Default,0.5466666666666666
Alice-opinion,0.5283333333333333
Default,0.51
Alice-opinion,0.5183333333333333
Default,0.5433333333333333
Alice-opinion,0.525
Default,0.5416666666666667
Alice-opinion,0.52
Default,0.53
Alice-opinion,0.5216666666666666
Default,0.5516666666666667
Alice-opinion,0.52
Default,0.5316666666666666
Alice-opinion,0.5066666666666667
Default,0.74
Alice-opinion,0.5383333333333333
Default,0.6
Alice-opinion,0.525
Default,0.505
Alice-opinion,0.5033333333333333
Default,0.5383333333333333
Alice-opinion,0.5133333333333333
Default,0.6
Alice-opinion,0.5016666666666667
Default,0.5433333333333333
Alice-opinion,0.505
Default,0.515
Alice-opinion,0.5133333333333333
Default,0.5533333333333333
Alice-opinion,0.5116666666666667
Default,0.51
Alice-opinion,0.985
Default,0.5083333333333333
Alice-opinion,0.9833333333333333
Default,0.5116666666666667
Alice-opinion,0.9866666666666667
Default,0.51
Alice-opinion,0.985
Default,0.5116666666666667
Alice-opinion,0.9833333333333333
Default,0.51
Alice-opinion,0.9816666666666667
Default,0.5116666666666667
Alice-opinion,0.9833333333333333
Default,0.5116666666666667
Alice-opinion,0.9833333333333333
Default,0.5116666666666667
Alice-opinion,0.9833333333333333
Default,0.51
Alice-opinion,0.985
Default,0.515
Alice-opinion,0.53
Default,0.5083333333333333
Alice-opinion,0.9833333333333333
Default,0.5083333333333333
Alice-opinion,0.9866666666666667
Default,0.525
Alice-opinion,0.5333333333333333
Default,0.51
Alice-opinion,0.9816666666666667
Default,0.5116666666666667
Alice-opinion,0.9833333333333333
Default,0.5083333333333333
Alice-opinion,0.9833333333333333
Default,0.51
Alice-opinion,0.9816666666666667
Default,0.5116666666666667
Alice-opinion,0.9833333333333333
Default,0.5116666666666667
Alice-opinion,0.9833333333333333
Default,0.51
Alice-opinion,0.985
Default,0.51
Alice-opinion,0.985
Default,0.505
Alice-opinion,0.52
Default,0.51
Alice-opinion,0.9816666666666667
Default,0.5083333333333333
Alice-opinion,0.53
Default,0.5116666666666667
Alice-opinion,0.9833333333333333
Default,0.51
Alice-opinion,0.9816666666666667
Default,0.5133333333333333
Alice-opinion,0.985
Default,0.5116666666666667
Alice-opinion,0.9833333333333333
Default,0.5066666666666667
Alice-opinion,0.5216666666666667
Default,0.51
Alice-opinion,0.9816666666666667
Default,0.5116666666666667
Alice-opinion,0.9833333333333333
Default,0.5116666666666667
Alice-opinion,0.9833333333333333
Default,0.51
Alice-opinion,0.9816666666666667
Default,0.5116666666666667
Alice-opinion,0.9833333333333333
Default,0.51
Alice-opinion,0.9816666666666667
Default,0.5116666666666667
Alice-opinion,0.9866666666666667
Default,0.5116666666666667
Alice-opinion,0.9833333333333333
Default,0.5116666666666667
Alice-opinion,0.9866666666666667
Default,0.51
Alice-opinion,0.9816666666666667
Default,0.5116666666666667
Alice-opinion,0.9833333333333333
Default,0.5116666666666667
Alice-opinion,0.9866666666666667
Default,0.51
Alice-opinion,0.985
Default,0.5133333333333333
Alice-opinion,0.5183333333333333
Default,0.51
Alice-opinion,0.985
Default,0.5116666666666667
Alice-opinion,0.5166666666666667
Default,0.5116666666666667
Alice-opinion,0.9833333333333333
Default,0.5116666666666667
Alice-opinion,0.9833333333333333
Default,0.51
Alice-opinion,0.985
Default,0.5216666666666666
Alice-opinion,0.53
